TEAM,SEASON,WinRate
ATL,1617,0.524
BKN,1617,0.646
BOS,1617,0.244
CHA,1617,0.439
CHI,1617,0.5
CLE,1617,0.622
DAL,1617,0.402
DEN,1617,0.488
DET,1617,0.451
GSW,1617,0.817
HOU,1617,0.671
IND,1617,0.512
LAC,1617,0.622
LAL,1617,0.317
MEM,1617,0.524
MIA,1617,0.5
MIL,1617,0.512
MIN,1617,0.378
NOP,1617,0.415
NYK,1617,0.378
OKC,1617,0.573
ORL,1617,0.354
PHI,1617,0.341
PHX,1617,0.293
POR,1617,0.5
SAC,1617,0.39
SAS,1617,0.744
TOR,1617,0.622
UTA,1617,0.622
WAS,1617,0.598
ATL,1718,0.293
BKN,1718,0.671
BOS,1718,0.341
CHA,1718,0.439
CHI,1718,0.329
CLE,1718,0.61
DAL,1718,0.293
DEN,1718,0.561
DET,1718,0.476
GSW,1718,0.707
HOU,1718,0.793
IND,1718,0.585
LAC,1718,0.512
LAL,1718,0.427
MEM,1718,0.268
MIA,1718,0.537
MIL,1718,0.537
MIN,1718,0.573
NOP,1718,0.585
NYK,1718,0.354
OKC,1718,0.585
ORL,1718,0.305
PHI,1718,0.634
PHX,1718,0.256
POR,1718,0.598
SAC,1718,0.329
SAS,1718,0.573
TOR,1718,0.72
UTA,1718,0.585
WAS,1718,0.524
ATL,1819,0.343
BKN,1819,0.598
BOS,1819,0.512
CHA,1819,0.476
CHI,1819,0.268
CLE,1819,0.232
DAL,1819,0.402
DEN,1819,0.659
DET,1819,0.5
GSW,1819,0.695
HOU,1819,0.646
IND,1819,0.585
LAC,1819,0.585
LAL,1819,0.451
MEM,1819,0.402
MIA,1819,0.476
MIL,1819,0.732
MIN,1819,0.439
NOP,1819,0.402
NYK,1819,0.207
OKC,1819,0.598
ORL,1819,0.512
PHI,1819,0.62
PHX,1819,0.232
POR,1819,0.646
SAC,1819,0.476
SAS,1819,0.585
TOR,1819,0.707
UTA,1819,0.61
WAS,1819,0.39
