PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
DeAndre' Bembry,ATL,22,38,20,18,9.8,2.7,1.2,2.6,48,0,0.5,5.6,0.2,0.4,37.5,0.4,1.2,1.6,0.7,0.4,0.2,0.1,0.6,6.2,0,0,-1.2
Dennis Schroder,ATL,23,79,42,37,31.5,17.9,6.9,15.4,45.1,1.3,3.7,34,2.8,3.2,85.5,0.5,2.6,3.1,6.3,3.3,0.9,0.2,1.9,31.3,10,0,-1
Dwight Howard,ATL,31,74,37,37,29.7,13.5,5.2,8.3,63.3,0,0,0,3.1,5.7,53.3,4,8.7,12.7,1.4,2.3,0.9,1.2,2.7,34.9,53,0,-1.5
Ersan Ilyasova,ATL,30,82,35,47,26.1,13.1,4.7,10.9,43.1,1.7,4.9,35.3,2,2.5,77.8,1.4,4.5,5.9,1.7,1.4,0.7,0.3,2.6,24.2,10,0,-0.4
Gary Neal,ATL,32,2,1,1,9.2,2,0,3.5,0,0,1,0,2,2,100,0,0.5,0.5,0.5,0,0,0,0.5,3.4,0,0,-2.5
Jose Calderon,ATL,35,41,15,26,13.1,3.4,1.3,3.3,41,0.5,1.6,31.3,0.3,0.3,91.7,0.4,1.4,1.8,2.1,1,0.3,0,0.9,8.7,0,0,-2.6
Kent Bazemore,ATL,27,73,39,34,26.9,11,4,9.9,40.9,1.3,3.6,34.6,1.6,2.3,70.8,0.6,2.5,3.2,2.4,1.7,1.2,0.7,2.3,22.6,1,0,-1.5
Kris Humphries,ATL,32,56,31,25,12.3,4.6,1.6,3.8,40.7,0.3,1,35.2,1.1,1.5,78,1.1,2.6,3.7,0.5,0.5,0.3,0.4,1.2,11.2,0,0,-1.2
Lamar Patterson,ATL,25,5,1,4,8.1,1.8,0.6,3,20,0.2,1.2,16.7,0.4,0.6,66.7,0.2,1.2,1.4,1.2,0.8,0.2,0,1.2,5.1,0,0,2.6
Malcolm Delaney,ATL,28,73,37,36,17.1,5.4,2,5.3,37.4,0.4,1.5,23.6,1,1.3,80.6,0.1,1.5,1.7,2.6,1.3,0.5,0,1.5,11.7,0,0,0.4
Mike Dunleavy,ATL,36,53,34,19,15.9,5.2,1.8,4.2,42.3,1,2.5,39.6,0.7,0.8,80,0.3,1.8,2.2,0.9,0.5,0.3,0.1,1.3,9.9,0,0,-0.7
Mike Muscala,ATL,25,70,36,34,17.7,6.2,2.4,4.8,50.4,0.7,1.6,41.8,0.7,0.9,76.6,1.1,2.3,3.4,1.4,0.8,0.4,0.6,1.4,14.6,0,0,-1.1
Mike Scott,ATL,28,18,7,11,10.8,2.5,0.9,3.3,28.8,0.2,1.5,14.8,0.4,0.4,87.5,0.6,1.5,2.1,0.9,0.4,0.2,0.2,0.7,7.1,0,0,-2.3
Paul Millsap,ATL,32,69,40,29,34,18.1,6.2,14.1,44.2,1.1,3.5,31.1,4.5,5.9,76.8,1.6,6.1,7.7,3.7,2.3,1.3,0.9,2.7,37.1,19,0,2
Ryan Kelly,ATL,26,16,6,10,6.9,1.6,0.5,1.8,28.6,0.3,0.6,40,0.3,0.4,83.3,0.1,1.1,1.1,0.5,0.3,0.3,0.3,0.3,5.1,0,0,0.3
Taurean Prince,ATL,23,59,28,31,16.6,5.7,1.9,4.8,40,0.6,1.7,32.4,1.3,1.6,78.7,0.4,2.2,2.7,0.9,1,0.7,0.5,1.6,12.8,0,0,-0.5
Thabo Sefolosha,ATL,33,62,32,30,25.7,7.2,2.8,6.4,44.1,0.7,1.9,34.2,0.9,1.2,73.3,0.9,3.5,4.4,1.7,0.9,1.5,0.5,1.6,20.2,0,0,-1
Tim Hardaway Jr.,ATL,25,79,42,37,27.3,14.5,5.3,11.5,45.5,1.9,5.3,35.7,2.1,2.7,76.6,0.4,2.4,2.8,2.3,1.3,0.7,0.2,1.3,22.6,0,0,2
Andrew Nicholson,BKN,27,38,20,18,9,2.6,1.1,2.9,38.7,0.1,0.7,18.5,0.2,0.4,64.3,0.4,1.2,1.6,0.3,0.4,0.4,0.2,1.4,6.2,0,0,-3.4
Anthony Bennett,BKN,24,23,3,20,11.5,5,1.7,4,41.3,0.6,2.1,27.1,1.1,1.6,72.2,1.1,2.3,3.4,0.5,0.5,0.2,0.1,0.8,10.4,0,0,-3
Archie Goodwin,BKN,22,15,8,7,14.3,7.3,2.4,4.4,54.5,0.3,1,33.3,2.2,2.8,78.6,0.5,1.4,1.9,1.6,0.9,0.3,0.3,0.5,12.8,0,0,-2.4
Brook Lopez,BKN,29,75,20,55,29.6,20.5,7.4,15.6,47.4,1.8,5.2,34.6,3.9,4.9,81,1.6,3.8,5.4,2.3,2.5,0.5,1.7,2.6,34.5,2,0,-2.1
Caris LeVert,BKN,22,57,15,42,21.7,8.2,3,6.7,45,1,3.2,32.1,1.2,1.6,72,0.4,2.9,3.3,1.9,1,0.9,0.1,1.6,17,0,0,-1.6
Greivis Vasquez,BKN,30,3,1,2,12.9,2.3,0.7,2.7,25,0.3,1,33.3,0.7,1,66.7,0,0.7,0.7,1.7,0.3,0.3,0.3,2,7.3,0,0,-4.3
Isaiah Whitehead,BKN,22,73,17,56,22.5,7.4,2.8,7,40.2,0.6,2,29.5,1.2,1.5,80.5,0.4,2.1,2.5,2.6,1.9,0.6,0.5,2.4,15.7,1,0,-1.6
Jeremy Lin,BKN,28,36,13,23,24.5,14.5,4.9,11.1,43.8,1.6,4.3,37.2,3.2,3.9,81.6,0.3,3.4,3.8,5.1,2.4,1.2,0.4,2.2,29,3,0,-2.3
Joe Harris,BKN,25,52,10,42,21.9,8.2,3,7,42.5,1.6,4.3,38.5,0.7,0.9,71.4,0.3,2.5,2.8,1,1.1,0.6,0.2,2.3,14.3,0,0,-5.5
Justin Hamilton,BKN,27,64,14,50,18.4,6.9,2.7,5.9,45.9,0.9,2.8,30.6,0.6,0.8,75,1.1,3,4.1,0.9,0.7,0.5,0.7,1.4,15.8,1,0,-4.6
KJ McDaniels,BKN,24,49,28,21,10.3,4.2,1.6,3.4,45.6,0.4,1.3,30.3,0.7,0.8,84.2,0.3,1.4,1.7,0.3,0.6,0.4,0.4,1,8.3,0,0,-0.9
Luis Scola,BKN,37,36,7,29,12.8,5.1,2,4.2,47,0.5,1.4,34,0.7,1,67.6,1.4,2.4,3.9,1,0.9,0.4,0.1,1.8,11.8,1,0,-2.3
Quincy Acy,BKN,26,38,11,27,14.7,5.8,1.8,4.5,41.2,1,2.4,41.1,1.2,1.6,75,0.5,2.5,3,0.5,0.6,0.4,0.4,1.8,11.9,0,0,-1
Randy Foye,BKN,33,69,17,52,18.6,5.2,1.7,4.7,36.3,1,2.9,33,0.8,0.9,85.7,0.1,2.1,2.2,2,1.2,0.5,0.1,1.4,11.6,0,0,-3
Rondae Hollis-Jefferson,BKN,22,78,19,59,22.6,8.7,3,6.9,43.4,0.2,0.9,22.4,2.4,3.2,75.1,1.2,4.6,5.8,2,1.5,1.1,0.6,2.3,21.9,8,0,-3.4
Sean Kilpatrick,BKN,27,70,14,56,25.1,13.1,4.4,10.5,41.5,1.5,4.4,34.1,2.9,3.5,84.3,0.3,3.7,4,2.2,1.9,0.6,0.1,1.7,21.6,4,0,-3.2
